.,English
quest.name,Chapeldown Manor
quest.description,"On top of the hill stands an old manor with a chapel connecting to it. It once served as an inn but has been abandoned since the mysterious disappearance of the owner and all his resident guests. There are rumours of ghosts haunting this manor and recent stories of students disappearing while playing a dare to stay the night at Chapeldown Manor. \n\nThis scenario requires investigators to uncover the truth about the disappearences and prevent this from ever happening again before time runs out.\n\nNote: this scenario randomly selects a storyline out of 5 possible storylines and is played in a randomly selected mansion (2 possible layouts).\n\n<i>A scenario for Mansions of Madness 2nd Edition.\nThis scenario uses tiles from the expansion ""Streets of Arkham""</i>"
quest.authors,Anton Timmermans\nWilliam van den Broek
UIIntroductionContinueBackground.button1,Button1
UIIntroductionContinueText.uitext,Continue
UIIntroductionContinueText.button1,Button1
UIIntroductionText.uitext,"<i>""The rumours about Chapeldown Manor MUST be true""</i> the female voice had said on the telephone. The voice belonged to Elli Horrowitz, a friend of mine. Convinced of the existense of the occult since the last investigation we did together. \n\nShe had been researching ghost stories and scanning newspapers, searching for more proof. <i>""I will go to Chapeldown Manor just before 22:00. According to my reseach it is the time  that the ghost will appear. Are you comming too? It will be like old times, you and me together hunting ghost"".</i> She sounded so exited, but this was not the first time we had chased a wild goose. I should have said yes.\n\n This was 3 days ago and the last time that I heard from her. Is she angy with me or did she vanish like all the stories that surround this manor suggest? She is not answering her phone and hasn't been seen at her appartment lately. I'd better check out the manor. What if she was right....\n\n "
CONTINUE,Continue
ATTACK,Attack
EXPLORE,{action} Explore
SEARCH,{action} Search
OPEN,{action} Open
TokenTEST.button1, Manor Selection
EventTESTManorSelection.button1,Assign
EventTESTManorSelection.text,Select 1 for Manor A\nSelect 2 for Manor B
EventTESTStorySelection.button1,Assign
TokenTEST.button2,Story Selection
TokenTEST.text,Selection test {MAD25} number of players {var:#heroes}\nManor: {var:Manor}\nStory: {var:Story}
EventTESTStorySelection.text,Select 1-5 for story version
TokenTEST.button3,Place Lobby
EventBLobbyPlaceTile.text,A sinister creaking noise from the door announces your arrival in the mansion. The silver-grey light of the full moon that seeps in through the small windows make the dustcovered lobby look even more earie.  Place tile {c:TileBLobby} as indicated
EventALobbyPlaceTile.button1,{qst:CONTINUE}
EventLobbyPlaceTile.button1,Button1
EventBLobbyPlaceTile.button1,{qst:CONTINUE}
EventALobbyPlaceTokenWall1.text,Place a Wall Token as indicated
EventQStartRound.button1,{qst:CONTINUE}
EventQEndRound.text,End of Round{var:#round}
EventQStartRound.text,Start of round {var:#round}
EventGhostRemove.button1,Button1
TokenBExploreHallOther.text,"The copper plaque on this door reads "" 2""."
TokenBExploreHallOther.button1,{qst:OPEN}
TokenBExploreLeisureLibrary.text,The painting of a book on the door suggest that this door will lead to the library.
TokenBExploreLeisureLibrary.button1,{qst:OPEN}
TokenBExploreLobbyHall.text,This door leads further into the mansion.
TokenBExploreLobbyHall.button1,{qst:OPEN}
TokenBExploreLobbyLeisure.text,You barely recognise the picture on this door of a mug spilling beer.
TokenBExploreLobbyLeisure.button1,{qst:OPEN}
TokenBExploreHallBedroom.button1,{qst:OPEN}
TokenBExploreLobbyChapel.text,This heavy oak door has a holy cross nailed to it.
TokenBExploreLobbyChapel.button1,{qst:OPEN}
TokenBExploreBedroomOffice.button1,{qst:OPEN}
TokenBExploreLoungeOffice.button1,{qst:OPEN}
TokenBExploreHallLeisure.text,"The plaque on this door reads ""Speakeasy""."
TokenBExploreLobbyLounge2.button1,{qst:OPEN}
EventBloungePlaceConnections.text,"An ornate copper plaque on this door reads ""Office"". Place an Explore Token as indicated."
EventBLobbyPlaceInvestigators.text,Place the investigators at the entrance of the lobby as indicated.
TokenBExploreHallLeisure.button1,{qst:OPEN}
TokenAExploreLobbyLounge.text,When you examine the picture on this door closely it you recognise an ashtray and a smoking cigarette.
TokenAExploreLobbyOffice.button1,{qst:OPEN}
TokenAExploreLobbyOffice.text,"This door has a plaque with the text ""Office"" carved into it."
TokenAExploreLobbyLounge.button1,{qst:OPEN}
TokenAExploreLobbyHall.text,This door leads further into the mansion.
TokenAExploreLobbyHall.button1,{qst:OPEN}
TokenAExploreLoungeLibrary.text,This door barely hangs in its hinges.
TokenAExploreLoungeLibrary.button1,{qst:CONTINUE}
TokenASightHallOther.text,A cold draft runs through this hall. An investigator next to this sight token may reveal the next tile.
TokenASightHallOther.button1,{qst:CONTINUE}
TokenAExploreBathroom.button1,{qst:OPEN}
TokenAExploreLibraryOther.text,This door has a painting of books on it.
TokenAExploreBathroom.text,"Two letters are written on this door decorated with elaborate curls. You recognise one letter as a ""W"" and the other looks more like a ""G"" but is probably a ""C""."
TokenAExploreLibraryOther.button1,{qst:OPEN}
TokenAExploreLibraryChapel.button1,{qst:OPEN}
TokenAExploreHallLeisure.text,The painting on this door resembles biljart balls placed in a triangle.
TokenAExploreHallBedroom.text,"The paint os this door is peeling off but you can still read the text ""bedroom"" on this door."
TokenAExploreHallBedroom.button1,{qst:OPEN}
TokenAExploreLibraryChapel.text,This heavy oak door has a holy cross nailed to it.
TokenAExploreHallLeisure.button1,{qst:OPEN}
TokenAExploreLobbyLeisure.text,"The copper plaque on this door has become dull and weathered. You can decipher the letters ""Bil...rts"" engraved into it."
